Case Type,Complexity,State,Hours Required,Cost
Business Law,Moderate,Karnataka,37,25739
Tax Law,Moderate,Assam,25,46800
Criminal Law,Moderate,Uttar Pradesh,22,21135
Family Law,Complex,Arunachal Pradesh,85,97127
Civil Litigation,Moderate,Arunachal Pradesh,35,43032
Immigration Law,Simple,Odisha,18,10304
Employment Law,Simple,Karnataka,19,14996
Criminal Law,Complex,Telangana,73,92127
Tax Law,Simple,Punjab,9,15131
Tax Law,Complex,Chhattisgarh,105,197720
Real Estate Law,Simple,Tamil Nadu,6,8995
Real Estate Law,Simple,Maharashtra,9,8629
Employment Law,Simple,Odisha,11,19084
Business Law,Complex,Mizoram,153,86871
Civil Litigation,Complex,Manipur,188,187186
Criminal Law,Simple,Odisha,11,16808
Family Law,Complex,Assam,188,151252
Immigration Law,Complex,West Bengal,117,73676
Immigration Law,Complex,Maharashtra,122,54908
Family Law,Complex,Punjab,113,67550
Personal Injury,Complex,Rajasthan,54,194969
Immigration Law,Simple,Manipur,19,17384
Personal Injury,Moderate,Tripura,31,21796
Personal Injury,Moderate,Bihar,35,39570
Business Law,Moderate,Nagaland,46,43450
Real Estate Law,Moderate,Arunachal Pradesh,37,21036
Intellectual Property,Complex,Odisha,92,168427
Civil Litigation,Complex,Odisha,139,118780
Criminal Law,Moderate,Rajasthan,22,28499
Tax Law,Complex,Assam,134,197527
Employment Law,Complex,Tamil Nadu,88,90339
Civil Litigation,Simple,Meghalaya,15,19959
Business Law,Moderate,Haryana,38,48458
Intellectual Property,Moderate,Tripura,30,26224
Family Law,Complex,Bihar,178,120094
Personal Injury,Simple,Odisha,9,8516
Intellectual Property,Complex,Karnataka,87,132102
Tax Law,Complex,Bihar,186,120708
Civil Litigation,Moderate,Manipur,23,44479
Family Law,Simple,Himachal Pradesh,17,18133
Employment Law,Complex,Rajasthan,190,175253
Real Estate Law,Simple,Sikkim,17,6083
Family Law,Complex,Maharashtra,157,66760
Criminal Law,Simple,Telangana,17,5435
Criminal Law,Complex,Odisha,197,101493
Criminal Law,Complex,Kerala,138,79983
Real Estate Law,Complex,Manipur,138,68614
Real Estate Law,Complex,Nagaland,151,65405
Family Law,Complex,Bihar,185,142893
Criminal Law,Complex,Manipur,105,124903
